Year,Line Name,MTT,FRI,SAT,SUN
2019,Bakerloo,397207.0,418683,338982,223792
2019,Central,977244.0,1005729,753207,504107
2019,District,823251.0,836491,595750,414993
2019,H&C and Circle,474624.0,479068,303720,217830
2019,Jubilee,898050.0,902111,675702,493366
2019,Metropolitan,328960.0,318233,168770,112954
2019,Northern,1084361.0,1138643,883864,601536
2019,Piccadilly,666850.0,728101,624523,436847
2019,Victoria,959921.0,1005041,780543,550820
2019,DLR,414172.0,414555,287116,226732
2019,Elizabeth Line,180694.0,172507,104309,73364
2019,London Overground,620045.0,621175,469470,308481
2019,London Trams,82534.0,82534,76844,73779
2022,Bakerloo,277833.5,275745,276654,177220
2022,Central,692079.25,680669,597527,403370
2022,District,635806.75,610858,522450,369196
2022,H&C and Circle,354522.5,343702,299405,211433
2022,Jubilee,674337.0,661875,642215,460268
2022,Metropolitan,254472.75,237391,175170,115809
2022,Northern,890933.25,893803,873052,579644
2022,Piccadilly,497738.25,515111,501469,350401
2022,Victoria,698243.5,687865,612898,429234
2022,DLR,315132.0,316148,269696,188895
2022,Elizabeth Line,574926.5,502491,405442,304360
2022,London Overground,576199.5,569898,507339,340448
